bin,TP,FN,FP,TN,precision,recall,FPR,bin_mean,bin_min,bin_max,bin_size,experiment,k,l,s,confidence_level,masking,classifier
2,64445027,2221643,35916196,30750474,0.6421307460551771,0.9666753566662322,0.5387429130628544,0.01330993,0.0101878,0.0177122,10,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
3,50287074,3046262,35916196,30750474,0.5833545989612691,0.9428825903558704,0.5387429130628544,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
4,49988939,3344397,35916196,30750474,0.5819086251363205,0.9372925593853721,0.5387429130628544,0.037567175,0.030677,0.0494626,8,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
5,46361376,6971960,35916196,30750474,0.5634752566592509,0.8692757565362121,0.5387429130628544,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
6,60177582,13155755,35916196,30750474,0.6262380692327447,0.8206033498789234,0.5387429130628544,0.12374136363636362,0.109331,0.145727,11,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
7,28662247,11337755,35916196,30750474,0.44383614203891536,0.7165561391721931,0.5387429130628544,0.17552316666666667,0.156619,0.197292,6,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
8,43231183,30102154,35916196,30750474,0.5462111764939177,0.5895161023423767,0.5387429130628544,0.22937800000000003,0.210897,0.243761,11,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
9,82358475,57641532,35916196,30750474,0.6963323110829029,0.5882747920148318,0.5387429130628544,0.7286633333333332,0.263022,1.0,21,variable_conf,28,28,6,0.0,unmasked,k=28 conf=0.0
0,66666490,180,3226501,63440169,0.9538365585184356,0.999997300000135,0.04839751258012437,0.0,0.0,0.0,10,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
1,104885412,8447927,3226501,63440169,0.9701559161199932,0.9254594713740852,0.04839751258012437,0.0035288890588235297,0.00014350299999999998,0.00916565,17,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
2,62032556,4634114,3226501,63440169,0.950558571509852,0.9304882934755854,0.04839751258012437,0.01330993,0.0101878,0.0177122,10,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
3,45918231,7415105,3226501,63440169,0.9343469611351224,0.8609667882016606,0.04839751258012437,0.02454185,0.0200167,0.029517900000000007,8,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
4,46100918,7232418,3226501,63440169,0.9345901110293244,0.8643921692803915,0.04839751258012437,0.037567175,0.030677,0.0494626,8,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
5,33018959,20314377,3226501,63440169,0.9109819271158374,0.6191054502947275,0.04839751258012437,0.08356630000000001,0.057671000000000014,0.0987984,8,variable_conf,28,28,6,0.05,unmasked,k=28 conf=0.05
