s2,s1,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned,C_sequences_prct.y,C_sequences_prct.x,j_bk,wp_bk,zp_bk,d_bk,j_ucseq_ak,wp_ucseq_ak,zp_ucseq_ak,d_ucseq_ak,j_cseq_ak,wp_cseq_ak,zp_cseq_ak,d_cseq_ak
Drosophila_erecta,Drosophila_mauritiana,0.062564954,0.061212016,0.062222534,0.061194071,0.062201377,6.03,6.61,0.0240917,15574540.93,93483979.37,0.061194071,0.022987,14353199.53,87243656.26,0.062201377,0.010941955,719497.3054,7043893.192,0.069849338
Drosophila_erecta,Drosophila_mojavensis,0.163164564,0.159193315,0.166762935,0.159209875,0.166797763,6.03,14.44,0.000727,15089411.56,96110132.97,0.159209875,0.0005362,13128823.06,85584484.17,0.166797763,0.0011966,1187644.95,11803766.82,0.133246506
Drosophila_erecta,Drosophila_persimilis,0.135686256,0.134182701,0.140961813,0.134164769,0.140954463,6.03,9.04,0.0017529,14236808.71,93520962.57,0.134164769,0.0013595,12963117.22,85984866.22,0.140954463,0.003476194,789497.5274,8352690.023,0.101165452
Drosophila_erecta,Drosophila_pseudoobscura,0.135313714,0.134899346,0.139484407,0.134898252,0.139481943,6.03,8.14,0.0017549,14629373.51,93501311.11,0.134898252,0.0014678,13337945.63,86420879.71,0.139481943,0.002229939,749693.2068,7954282.992,0.113829029
Drosophila_erecta,Drosophila_sechellia,0.064605557,0.064392137,0.065405085,0.064369676,0.065383195,6.03,6.95,0.0206504,14764805.98,92770359.72,0.064369676,0.0197121,13588684.46,86409848.34,0.065383195,0.009339226,710558.9557,7096885.652,0.073944915
Drosophila_erecta,Drosophila_simulans,0.06191662,0.060718874,0.061715096,0.060700102,0.061695299,6.03,5.48,0.0245942,15562347.68,93052242.08,0.060700102,0.0233854,14381710.98,87410908.7,0.061695299,0.009956774,664641.5871,6461417.162,0.072856471
Drosophila_erecta,Drosophila_virilis,0.161270865,0.146098168,0.164121149,0.146070016,0.16408568,6.03,15.04,0.0010532,12127083.31,86256697.8,0.146070016,0.0005166,10340231.93,77377535.6,0.16408568,0.004693173,1018285.524,9641558.708,0.095698501
Drosophila_erecta,Drosophila_willistoni,0.158994268,0.151085591,0.157475386,0.151078663,0.157441756,6.03,11,0.0008625,12200393.65,88283611.78,0.151078663,0.0006887,11192533.84,80314734.06,0.157441756,0.001602202,667622.8739,8699777.452,0.117379206
Drosophila_erecta,Drosophila_yakuba,0.060120071,0.058539048,0.059618578,0.058522858,0.059599772,6.03,5.91,0.025494,14934776.69,92639683.96,0.058522858,0.0242599,13804247.85,86741795.18,0.059599772,0.01093523,639408.0788,6669848.318,0.067961984
Drosophila_eugracilis,Drosophila_ananassae,0.118637664,0.111469005,0.112121401,0.11145401,0.112113106,9.07,12.18,0.0034261,11592049.22,87080882.6,0.11145401,0.0030914,9600838.548,78087491.98,0.112113106,0.003470309,1370319.471,9368239.43,0.113785803
Drosophila_eugracilis,Drosophila_biarmipes,0.094439092,0.089500329,0.090684951,0.089488921,0.090676969,9.07,5.74,0.0074832,13100173.73,96442795.65,0.089488921,0.0070664,11872386.07,88850897.47,0.090676969,0.004289673,750715.5741,8268357.782,0.093896705
Drosophila_eugracilis,Drosophila_bipectinata,0.118106578,0.088746321,0.106676165,0.088717541,0.106644141,9.07,10.4,0.0072645,12166456.63,94698968.19,0.088717541,0.0037902,10603329.63,85149534.79,0.106644141,0.032777677,1087723.245,10204282.92,0.03832805
